;tAtm;Prec;rSoil;rRoot;hCritA;rB;hB;ht;tTop;tBot;Ampl;RootDepth;date
1;1;5,62;0,5787813778340098;0,08240064900145286;15000;0;0;0;26,0;0;7,399999999999999;0;2017-05-21
2;2;0,0;0,40177288480302825;0,05720008923377997;15000;0;0;0;25,200000000000003;0;6,4;0;2017-05-22
3;3;0,44000000000000006;0,43368873344288195;0,06174392347253518;15000;0;0;0;24,2;0;6,0;0;2017-05-23
4;4;0,52;0,5728368106734881;0,08155432565585242;15000;0;0;0;25,9;0;6,1;0;2017-05-24
5;5;0,0;0,5940296166326352;0,08457152875200388;15000;0;0;0;26,9;0;5,5;0;2017-05-25
6;6;0,0;0,6220834528593959;0,08856553132464456;15000;0;0;0;27,599999999999998;0;5,199999999999999;0;2017-05-26
7;7;6,779999999999999;0,6305313751106987;0,0897682553632552;15000;0;0;0;26,2;0;6,800000000000001;0;2017-05-27
8;8;3,3;0,4722091279180847;0,06722804170112648;15000;0;0;0;23,9;0;6,299999999999999;0;2017-05-28
9;9;0,0;0,5581004679970644;0,07945632415312721;15000;0;0;0;25,0;0;4,0;0;2017-05-29
10;10;0,0;0,6741385414382692;0,09597657329489509;15000;0;0;0;25,700000000000003;0;4,9;0;2017-05-30
11;11;0,0;0,6067346929364599;0,08638034046078068;15000;0;0;0;25,1;0;5,1;0;2017-05-31
12;12;0,0;0,503699741285203;0,0717113355289534;15000;0;0;0;24,3;0;4,5;0;2017-06-01
13;13;0,0;0,6066313161389025;0,0863656227875164;15000;0;0;0;25,4;0;4,799999999999999;0;2017-06-02
14;14;0,0;0,6282920333711733;0,08944944204316624;15000;0;0;0;25,7;0;4,300000000000001;0;2017-06-03
15;15;0,0;0,7031879809516732;0,10011231912346844;15000;0;0;0;26,200000000000003;0;5,6;0;2017-06-04
16;16;0,0;0,6415796085597668;0,09134118365947946;15000;0;0;0;25,9;0;5,1;0;2017-06-05
17;17;1,58;0,582180145809309;0,08288452892174;15000;0;0;0;25,8;0;5,0;0;2017-06-06
18;18;0,0;0,5406734895160488;0,07697525894964051;15000;0;0;0;25,9;0;4,700000000000001;0;2017-06-07
19;19;0,22000000000000003;0,33055325282598325;0,04706060631103088;15000;0;0;0;23,6;0;3,799999999999999;0;2017-06-08
20;20;0,0;0,40867792284443;0,05818315406236955;15000;0;0;0;23,9;0;3,5;0;2017-06-09
21;21;0,36;0,43767379236213905;0,06231127317283943;15000;0;0;0;23,799999999999997;0;3,4000000000000004;0;2017-06-10
22;22;0,0;0,41412922725374646;0,05895925197850012;15000;0;0;0;23,7;0;3,6999999999999993;0;2017-06-11
23;23;0,12;0,4017224290820366;0,05719290589251369;15000;0;0;0;23,8;0;4,0;0;2017-06-12
24;24;0,0;0,3433813909317715;0,04888693823164837;15000;0;0;0;22,5;0;2,5;0;2017-06-13
25;25;0,0;0,41292592327146294;0,058787938538082854;15000;0;0;0;24,4;0;4,0;0;2017-06-14
26;26;0,0;0,4547563782669308;0,06474330747644069;15000;0;0;0;25,6;0;4,799999999999999;0;2017-06-15
27;27;0,0;0,4205619940868045;0,059875079927047256;15000;0;0;0;24,6;0;4,200000000000001;0;2017-06-16
28;28;0,6799999999999999;0,34164631657575245;0,048639917061864366;15000;0;0;0;24,2;0;4,199999999999999;0;2017-06-17
29;29;0,0;0,3335109563619274;0,04748169223440278;15000;0;0;0;22,8;0;3,8000000000000007;0;2017-06-18
30;30;0,22000000000000003;0,4594807316359413;0,06541590994539973;15000;0;0;0;23,8;0;4,800000000000001;0;2017-06-19
31;31;2,7199999999999998;0,327681389358368;0,0466517413705923;15000;0;0;0;23,6;0;3,799999999999999;0;2017-06-20
32;32;0,06;0,4381254748365717;0,06237557885104753;15000;0;0;0;23,700000000000003;0;4,1;0;2017-06-21
33;33;0,0;0,4241985034962143;0,06039280690809949;15000;0;0;0;23,700000000000003;0;3,9000000000000004;0;2017-06-22
34;34;0,0;0,5064602698194139;0,07210434980259378;15000;0;0;0;24,200000000000003;0;4,6;0;2017-06-23
35;35;0,26;0,5669176021491754;0,08071161259932044;15000;0;0;0;24,9;0;4,9;0;2017-06-24
36;36;0,32;0,4943334814056456;0,07037786848535212;15000;0;0;0;24,200000000000003;0;4,4;0;2017-06-25
37;37;0,0;0,4536356997352741;0,06458375735636585;15000;0;0;0;23,799999999999997;0;3,5999999999999996;0;2017-06-26
38;38;0,0;0,49060554776930704;0,06984712550910392;15000;0;0;0;23,299999999999997;0;3,9000000000000004;0;2017-06-27
39;39;0,0;0,5018378504047352;0,07144625959044518;15000;0;0;0;24,4;0;4,6;0;2017-06-28
40;40;0,0;0,5438375003446075;0,0774257166798055;15000;0;0;0;24,5;0;4,300000000000001;0;2017-06-29
41;41;0,0;0,4884427517359688;0,06953920994092898;15000;0;0;0;24,6;0;4,200000000000001;0;2017-06-30
42;42;0,0;0,4400901737091193;0,06265529148243212;15000;0;0;0;24,4;0;4,200000000000001;0;2017-07-01
43;43;0,0;0,4361767186335035;0,0620981359649627;15000;0;0;0;24,6;0;4,6;0;2017-07-02
